Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2023-05-30,796.5828857421875,799.4543434930372,792.5920864341458,795.0498137776772,37125928
2023-05-31,783.9777221679688,795.706836766176,780.9602943063138,793.249109394473,43334270
2023-06-01,780.6439208984375,788.3822359863269,778.6971779535536,788.3822359863269,50366938
2023-06-02,781.8606567382812,785.9001722239442,779.1838851154611,784.7564131844704,17859710
2023-06-05,780.838623046875,786.7275086936293,779.889550195903,785.7541372012771,18697242
2023-06-06,778.4052124023438,783.4910548041016,774.9253973543547,782.4203699015892,32182852
2023-06-07,782.4446411132812,784.8051144822347,776.7504417142903,780.3762267164857,24949026
2023-06-08,782.9312744140625,791.350960923385,780.278861070367,780.278861070367,37395522
2023-06-09,783.8560791015625,787.7009085166137,782.1040222342899,786.4355374130215,18212578
2023-06-12,779.0865478515625,786.3868338718737,778.4294745818307,784.8051052341397,13408292
2023-06-13,780.4005126953125,783.0772840204289,773.8789124939628,773.8789124939628,27926108
2023-06-14,779.548828125,784.537356602154,778.7944415181629,783.7829699953168,20113968
2023-06-15,769.961181640625,781.5929230405386,768.4767664026215,780.6439096325554,35377476
2023-06-16,780.0355224609375,783.1746215295391,770.9101653895649,772.4432372595309,15779272
2023-06-19,780.7169799804688,785.6324943134937,777.8941787861185,784.0507655809437,24829146
2023-06-20,782.3473510742188,784.0507512165266,774.1467079853705,780.7169656771292,20005626
2023-06-21,796.023193359375,796.8262367213268,784.0507359035319,786.4841646307309,24308946
2023-06-22,799.9166870117188,806.7059888717916,797.7023024946114,798.1646301932708,56596140
2023-06-23,799.8680419921875,807.8497002925832,795.2688853504051,796.9722855006775,21339218
2023-06-26,795.9988403320312,803.3964393933287,792.6649956756461,800.5979965482512,16130314
2023-06-27,807.2169799804688,814.1766100290189,797.4589662553369,799.6003360457688,33831864
2023-06-28,815.7583618164062,817.5834334461853,808.1417176661517,812.7652324615918,59562950
2023-06-30,828.047119140625,831.6486054517263,819.2137611926184,829.3124901661796,40699016
2023-07-03,837.002197265625,855.3502267293802,832.2326530339916,833.449367439012,44104116
2023-07-04,841.0902709960938,850.2399866599931,834.0820438772298,838.778513734139,38795188
2023-07-05,814.3712158203125,837.0994145323269,812.0594587162262,835.274343134364,37165754
2023-07-06,815.1986694335938,821.4525697320477,808.0930690327465,814.2252978880014,52156544
2023-07-07,808.093017578125,815.1986175265295,806.0976179186929,810.3317601084606,19926336
