Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-05-29,1150.8279550929285,1154.9364899661489,1144.5283465169668,1150.6453857421875,10010304.0,1128.6285400390625,1122.3403198242188,1123.86728515625,-0.1825693507410051,0.5625304653326557,10.408143449182035,0,1150.3486328125,0
2023-05-30,1150.645307987406,1158.451475420254,1147.7921790871794,1150.3486328125,11342504.0,1134.5995361328125,1125.3600341796875,1125.6681640625,-0.29667517490611317,-0.025790129032332576,10.659296333074508,1,1127.5009765625,0
2023-05-31,1141.241614387353,1145.7381091276332,1123.4382047768397,1127.5009765625,27107927.0,1137.3065673828125,1126.7569091796875,1126.8048400878906,-13.74063782485291,-1.9861505980269256,22.29990435079344,2,1124.4652099609375,0
2023-06-01,1132.1800927726736,1134.3484659204855,1122.068625138698,1124.4652099609375,14592692.0,1139.4338134765626,1128.0898559570312,1127.1529174804687,-7.714882811736061,-0.2692473589528843,12.27984078178747,3,1120.7904052734375,0
2023-06-02,1128.003101699598,1133.412563645759,1118.8731857024295,1120.7904052734375,15800644.0,1134.7501220703125,1128.6947143554687,1127.4599060058595,-7.212696426160392,-0.32680465833422323,14.539377943329555,4,1130.856201171875,1
2023-06-05,1126.2684221252366,1133.8234358683376,1122.2739934203582,1130.856201171875,10908682.0,1130.79228515625,1129.7104125976562,1127.5820190429688,4.5877790466383885,0.8980979718488769,11.549442447979345,0,1131.81494140625,1
2023-06-06,1133.6866395560062,1135.626680467698,1123.8947880782737,1131.81494140625,7493309.0,1127.085546875,1130.8425415039062,1127.577459716797,-1.8716981497561846,0.08478003068661533,11.731892389424274,1,1140.3970947265625,1
2023-06-07,1135.3071289198083,1141.241598708449,1128.733545665894,1140.3970947265625,10312545.0,1129.6647705078126,1133.4856689453125,1127.6128356933593,5.089965806754208,0.7582647132798437,12.50805304255482,2,1141.081787109375,1
2023-06-08,1143.9805586437908,1148.9335976883085,1137.133121023714,1141.081787109375,12071109.0,1132.9880859375,1136.2109497070312,1128.0544921875,-2.8987715344158005,0.060039821740920374,11.800476664594498,3,1133.0018310546875,0
2023-06-09,1144.4370477074842,1145.1446246797914,1131.1985964976163,1133.0018310546875,5877018.0,1135.43037109375,1135.0902465820313,1127.9997192382812,-11.435216652796726,-0.7080961370136252,13.946028182175041,4,1134.006103515625,1
